2023년 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도(년)",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,,,
,,,,,,,,,국비,지방비,기타,합계, 내국인(명) ,외국인(명),전담조직명,조직형태,설립근거,,성명,연락처,,
572,충남,천안시,천안흥타령춤축제 2023,문화관광,10.05.~10.09.,천안종합운동장일원,대면,2003,,"2,400",,"2,400","1,200,000",,천안문화재단,재단법인,천안 문화재단 설립 및 운영에 관한 조례,,김병선,041-521-5173,,
573,충남,공주시,겨울공주 군밤축제,특산물,01.06.~01.08.,아트센터 고마,대면,2018,,250,,250,"78,000",,겨울공주군밤축제조직위원회,위원회,공주시 축제 운영 조례,,김현오,041-840-2056,,
574,충남,공주시,계룡산 벚꽃축제,생태자연,03.25.~04.02.,동학사 일원,대면,2004,,20,,20,,,계룡산축제추진위원회,민간단체,,,김라이,041-840-8093,,
575,충남,공주시,갑사황매화축제,생태자연,04.15.~04.16.,갑사 일원,대면,2019,,20,,20,"1,000",,갑사지구번영회,민간단체,,,김라이,041-840-8093,,
576,충남,공주시,계룡산산신제,전통역사,04.22.~04.23.,신원사 일원,대면,1998,,40,,40,"1,500",,계룡산산신제보존회,민간단체,,,김라이,041-840-8093,,
577,충남,공주시,공주 석장리 구석기축제,전통역사,05.05.~05.07.,석장리박물관,대면,2008,,930,,930,"80,013",,구석기축제조직위원회,위원회,공주시 축제 운영 조례,,현은경,041-840-8069,,
578,충남,공주시,마곡사 신록축제,문화예술,05.06.~05.07.,마곡사 일원,대면,2004,,20,,20,"2,000",,마곡사신록축제추진위원회,민간단체,,,김현오,041-840-2056,,
579,충남,공주시,유구색동수국정원 꽃축제,생태자연,06.23.~06.25.,유구천,대면,2022,,240,,240,"60,000",,공주시 관광과,,,,차태진,041-840-8111,,
580,충남,공주시,2023 대백제전,전통역사,09.23.~10.09.,금강신관공원 일원,대면,1955,,"4,000",,"4,000","659,392",,백제문화선양위원회,위원회,공주시 백제문화선양위원회 조례,,신승현,041-840-8112,,
581,충남,공주시,공주항공축제,문화관광,10.07.~10.08.,공주경비행장,대면,2009,,20,,20,,,공주경비행기,민간단체,,,김현오,041-840-2056,,
582,충남,공주시,구절산 구절초 축제,생태자연,10.14.~10.15.,구룡사 일원,대면,2019,,20,,20,"100,000",,구룡사구절초꽃축제추진위원회,민간단체,,,김라이,041-840-8093,,
583,충남,보령시,무창포 주꾸미 도다리 축제,특산물,3월~4월,무창포항일원,대면,2000,,20,21.5,42,,,공모선정 후 추진,,,,이재언,041-930-6761,,
584,충남,보령시,제17회 주산봄꽃축제,생태자연,4월중,주산면 화산천 일원,대면,2004,,25,,25,"2,000",,주산면 체육회,체육단체,보령시체육회 정관(2022. 7. 20.) 제6조제1항제2호,,이진,041-930-4773,,
585,충남,보령시,대천항수산물축제,특산물,5월중,대천항일원,대면,2010,,50,12,62,"30,000",,공모선정 후 추진,,,,이재언,041-930-6761,,
586,충남,보령시,오천항키조개축제,특산물,5월중,오천항일원,대면,2018,,10,13,23,,,공모선정 후 추진,,,,이재언,041-930-6761,,
587,충남,보령시,대천해수욕장 조개구이 축제,특산물,05.27.~05.29.,대천해수욕장,대면,2018,,50,,50,"1,000",100,(사)대천관광협회,민간단체,,,김현종,041-930-6563,,
588,충남,보령시,제2회 보령AMC모터페스티벌,문화관광,05.27.~05.29.,대천해수욕장,대면,2022,,"1,000",,"1,000","50,000",,(재)보령축제관광재단,민간단체,보령축제관광재단 설립 및 지원 조례,,박유경,041-930-6561,,
589,충남,보령시,제26회 보령머드축제,문화관광,07.21.~08.06.,대천해수욕장,대면,1998,,"2,500",,"2,500",,,(재)보령축제관광재단,민간단체,보령축제관광재단 설립 및 지원 조례,,박유경,041-930-6561,,
590,충남,보령시,원산도 한여름밤의 별빛 콘서트,문화예술,8월중,원산도 해수욕장 광장,대면,2022,,30,,30,"3,145",78,원산출장소,보령시,보령시 지방보조금 관리조례,,차성환,041-930-6856,,
591,충남,보령시,무창포 대하전어축제,특산물,9월중,무창포해수욕장,대면,2008,,0,,0,"50,000",,무창포어촌계,민간단체,,,서민지,041-930-6562,,
592,충남,보령시,보령예술제,문화예술,9월중,보령문화의전당,대면,1997,,150,,150,"6,000",,한국예총 보령지부,사단법인,보령시 문화예술 진흥 조례,,김가영,041-930-3412,,
593,충남,보령시,무창포 신비의 바닷길 축제,문화관광,10월중,무창포해수욕장,대면,1998,,296,,296,"25,000",,(재)보령축제관광재단,민간단체,보령축제관광재단 설립 및 지원 조례,,서민지,041-930-6562,,
594,충남,보령시,제2회 원산도·효자도 머드 붕장어축제,특산물,10월중,원산도내,대면,2022,,20,,20,512,11,원산출장소,보령시,보령시 지방보조금 관리조례,,차성환,041-930-6856,,
595,충남,보령시,청라은행마을축제,농촌문화,10.28.~10.29.,장현1리은행마을,대면,2012,,16,,16,"5,000",,공모선정 후 추진,민간단체,,,정은효,041-930-4704,,
596,충남,보령시,제20회 성주산 단풍축제,생태자연,10월~11월중,성주산일원,대면,2000,,40,20,60,"2,500",,성주산단풍축제추진위원회,마을조직,보령시 임농가 소득 및 산림문화행사 지원조례 ,,최솔비,041-930-4849,,
597,충남,보령시,제15회 온새미로 축제,농촌문화,11.02.~11.04.,천북면 신죽리 수목원,대면,2005,,10,,10,"1,000",,온새미로 축제 추진위원회,주민자치위원회,보령시 주민자치센터 설치 및 운영 조례,,강한솔,041-930-7981,,
598,충남,보령시,보령 김축제,특산물,11월중,대천해수욕장 머드광장,대면,2015,,200,10,210,"80,000",,공모선정 후 추진,,,,이재언,041-930-6761,,
599,충남,보령시,천북 굴축제,특산물,11월중,천수만테마파크,대면,2000,,30,35,65,643,,공모선정 후 추진,,,,이재언,041-930-6761,,
600,충남,보령시,대천겨울바다사랑축제,문화관광,12.23.~12.25.,대천해수욕장,대면,2017,,290,,290,"20,000",,(재)보령축제관광재단,민간단체,보령축제관광재단 설립 및 지원 조례,,박유경,041-930-6561,,
601,충남,아산시,아산 성웅 이순신 축제,전통역사,4.28.~4.30.,곡교천 등,대면,1961,,"1,500",,"1,500",,,아산문화재단,재단법인,아산문화재단 설립 및 운영 조례(2019년),,김현수,041-540-2140,,
602,충남,아산시,신정호 아트밸리 별빛음악제,공연예술,8.25.~8.27.,신정호,대면,2016,,150,,150,"4,000",,아산문화재단,재단법인,아산문화재단 설립 및 운영 조례(2019년),,김현수,041-540-2140,,
603,충남,아산시,설화예술제,문화예술,10.7.~10.9.,신정호,대면,1989,,45,,45,"3,000",,아산예총,민간법인,,,김현수,041-540-2140,,
604,충남,아산시,짚풀문화제,전통역사,10.20.~10.22.,외암마을,대면,2000,,126,,126,"1,000",,민간단체,,,,김현수,041-540-2140,,
605,충남,서산시,왕산포갯마을축제,특산물,4월중,왕산항 일원,대면,2019,,50,21,71,,,서산갯마을축제추진위원회,위원회,서산시 축제 육성 및 지원 조례,,윤종두,041-660-2647,,
606,충남,서산시,제4회 해미벚꽃축제,생태자연,04.15.~04.16.,해미천일원,대면,2017,,48,0,48,"20,000",500,해미벚꽃축제추진위원회,위원회,해미벚꽃축제 추진위원회 회칙,,배동주,,,
607,충남,서산시,제15회 류방택 별축제,역사과학,5월중,서산류방택천문기상과학관,대면,2007,,85,,85,"1,000",,(사)금헌류방택기념사업회,사단법인,서산류방택천문기상과학관 설치 및 운영 조례,,조항현,041-661-8009,,
608,충남,서산시,제22회 팔봉산감자축제,특산물,6월중,팔봉산 양길리 주차장,대면,2002,,90,10,100,"57,500",500,팔봉산감자축제추진위원회,위원회,서산시 축제 육성 및 지원조례,,김지운,041-660-3068,,
609,충남,서산시,제14회 서산6쪽마늘축제,특산물,7월중,해미읍성,대면,2007,,200,0,200,,,서산시청 농식품유통과,공공기관,서산시 축제 육성 및 지원조례,,김지운,041-660-3068,,
610,충남,서산시,삼길포우럭축제,특산물,7월중,삼길포항 일원,대면,2013,,50,21,71,"12,000",,삼길포우럭축제추진위원회,위원회,서산시 축제 육성 및 지원 조례,,윤종두,041-660-2647,,
611,충남,서산시,서산뻘낙지먹물축제,특산물,10월중,중리포구 일원,대면,2014,,50,21,71,,,서산뻘낙지축제추진위원회,위원회,서산시 축제 육성 및 지원 조례,,윤종두,041-660-2647,,
612,충남,서산시,간월도어리굴젓축제,특산물,10월중,간월도항 일원,대면,2015,,50,21,71,,,간월도어리굴젓축제추진위원회,위원회,서산시 축제 육성 및 지원 조례,,윤종두,041-660-2647,,
613,충남,서산시,제20회 서산해미읍성축제,전통역사,10월중,서산 해미읍성,대면,2000,30,"1,230",,"1,260","153,500",500,서산해미읍성축제추진위원회,위원회,서산시 축제 육성 및 지원 조례,문체부,김현주,041-660-3396,,
614,충남,서산시,제24회 서산국화축제,생태자연,11월중,고북면 복남골길 31-1 일원,대면,2000,,100,,100,"63,128",,서산국화축제추진위원회,위원회,서산시 축제 육성 및 지원 조례,,권진현,,,
615,충남,논산시,논산딸기축제,특산물,3.08.~3.12.,논산시민운동장,대면 ,1997년,,"1,000",,"1,000",,,논산문화관광재단 딸기축제추진단,축제조직위,논산문화관광재단 축제추진 내규,,장창순,041-730-2973,,
616,충남,논산시,해바라기축제,특산물,6월중,논산시 채운면 일원,대면,2016년,,,10,10,"10,000",,해바라기축제추진위원회,축제조직위,마을주민자체조직,,정기석,,,
617,충남,논산시,콩밭열무축제,특산물,8월중,논산시 채운면 일원,대면,2013년,,,8,8,"8,000",,콩밭열무축제추진위원회,축제조직위,마을주민자체조직,,김시환,,,
618,충남,논산시,연산대추축제,특산물,10월중,연산전통시장일원,대면,2002년,,100,20,120,"100,000",,연산대추축제추진위원회,축제조직위,논산시 농업 농촌 지원에 관한 조례 제8조 제 12호,,이현아,041-746-8742,,
619,충남,논산시,강경젓갈축제,특산물,10월중,강경 금강둔치 일원,대면,1997년,,970,,970,"200,000",,강경젓갈축제추진위원회,축제조직위,논산시 강경젓갈축제추진위원회 운영 조례,,권우진,041-746-5663,,
620,충남,논산시,양촌곶감축제,특산물,12월중,"양촌면
체육공원",대면,2002년,,100,,100,"150,000",,양촌곶감축제추진위원회,축제조직위,논산시 농업 농촌 지원에 관한 조례 제8조 제 12호,,유솔현,041-746-8795,,
621,충남,계룡시,2023계룡군문화축제,문화관광,10월중,계룡대 활주로,대면,2007,650,"2,750",,"3,400","1,633,438","71,653",계룡군문화발전재단,재단법인,계룡시 군문화발전재단 설립 및 운영에 관한 조례 ,문체부,서유나,042-840-2632,,
622,충남,당진시,제24회 장고항실치축제,특산물,04.10.~04.30.,장고항,대면,2000,,25,,25,,,장고항실치축제위원회,위원회,,,김수강,041-350-4274,,
623,충남,당진시,기지시줄다리기민속축제,전통역사,04.19.~04.23.,기지시줄다리기박물관,대면,16세기,,537,,537,"15,000",100,기지시줄다리기축제위원회,사단법인,,,고대영,041-350-3606,,
624,충남,당진시,제23회 면천진달래민속축제,전통역사,4월중,면천읍성,대면,2001,,30,,30,,,면천진달래민속축제 집행위원회,사단법인,,,김경선,041-360-8355,,
625,충남,당진시,제19회 순성매화벚꽃축제,생태자연,4월중,갈산리 일원,대면,2005,,45,,45,,,순성면축제위원회,위원회,,,한주연,041-360-8406,,
626,충남,당진시,제19회 한진포구바지락갯벌체험축제,특산물,05.01.~05.31.,한진포구,대면,2005,,20,,20,,,한진포구바지락갯벌체험축제위원회,위원회,,,김수강,041-350-4274,,
627,충남,당진시,제15회 순성왕매실&당진맥주축제,문화관광,6월중,순성왕매실영농조합 내 광장,대면,2009,,30,,30,270,30,순성왕매실영농조합,협동조합,,,한주연,041-360-8406,,
628,충남,당진시,제7회 합덕제연호문화축제,전통역사,07.08.~07.16.,합덕제 일원,대면,2017,,20,95,115,"50,000","2,000",합덕제연호문화축제 집행위원회,위원회,단체 고유번호증,,이상식,041-350-4931,,
629,충남,당진시,심훈상록문화제,문화제,9월중,문예의전당 일원,대면,1977,,150,,150,"10,000","1,000",사)상록문화제집행위원회,위원회,,,이동형,041-350-3572,,
630,충남,당진시,제16회 삽교호조개구이축제,특산물,10월중,삽교호관광지,대면,2005,,40,15,55,"40,000","3,200",삽교호재구이축제추진위원회,위원회,당진시 관광진흥 조례(2017년),,김윤희,041-350-3593,,
631,충남,당진시,제33회 남이흥장군문화제,문화제,10월중,충장사,대면,1989,,50,,50,500,,남이흥장군문화제집행위원회,위원회,당진시 당진문화원 지원 및 육성에 관한 조례,,진용찬,041-350-3581,,
632,충남,당진시,제23회 왜목마을해넘이해맞이축제,문화관광,12.31.~01.01.,왜목마을,대면,1999,,0,100,100,"17,900",100,왜목마을해넘이해맞이축제추진위원회,위원회,,,권창중,041-350-3591,,
633,충남,금산군,2023년 비단고을 산꽃축제,생태자연,4월중,산꽃벚꽃오토캠핑장(보곡산골),대면,2000,,90,,90,"10,000",,금산축제관광재단,재단법인,금산축제관광재단 설립 및 운영 조례(2019년),,이두영,041-750-2252,,
634,충남,금산군,제13회 금산천 봄꽃축제,생태자연,4월중,금산읍 금산천 둔치,대면,2008,,10,,10,,,금산천봄꽃축제추진위원회,위원회,금산군축제육성및지원에관한조례 제17조,,이두영,041-750-2252,,
635,충남,금산군,제13회 남일면 홍도화축제,생태자연,4월중,남일면 신정리 홍도마을,대면,2008,,10,,10,,,남일면홍도화축제추진위원회,위원회,금산군축제육성및지원에관한조례 제17조,,이두영,041-750-2252,,
636,충남,금산군,제3회 금산삼계탕축제,특산물,07.07.~07.09.,금산인삼관 광장 및 인삼약초거리일원,대면,2021,,627,,627,"35,000",50,금산축제관광재단,재단법인,금산축제관광재단 설립 및 운영 조례(2019년),,이두영,041-750-2252,,
637,충남,금산군,재41회 금산세계인삼축제,특산물,09.30.~10.09.,금산인삼관 광장 및 인삼약초거리일원,대면,1981,,"2,900",,"2,900","1,030,000",880,금산축제관광재단,재단법인,금산축제관광재단 설립 및 운영 조례(2019년),,이두영,041-750-2252,,
638,충남,부여군,2023 부여세도 방울토마토&유채꽃 축제,생태자연,04.21~04.23,세도면 금강 황산대교 일원,대면,2018,,270,,270,"10,000",100,부여세도 방울토마토&유채꽃 추진위원회,"민,관 협업단체",,,신태섭,041-830-6723,,
639,충남,부여군,옥녀봉 진달래꽃 십리길 축제(미정),생태자연,4월중,옥산면 옥녀봉 일원,대면,2006,,15,,15,"1,000",10,공모선정 후 추진,민간조직,부여군 지방보조금 관리 조례,,김진철,041-830-6545,,
640,충남,부여군,내산벚꽃축제(미정),생태자연,4월중,(미정),대면,2019,,25,,25,"1,000",10,내산면 주민자치회,주민자치단체,,,안예은,041-830-6455,,
641,충남,부여군,제5회 봄나들이 축제,문화예술,5월중,부소산,대면,2019,,300,,300,"20,000",400,공모선정 후 추진,민간조직,부여군 지방보조금 관리 조례,,김은영,041-830-2823,,
642,충남,부여군,제21회 부여서동연꽃축제,문화예술,7월중,궁남지,대면,2003,,"1,700",,"1,700","320,458","2,000",공모선정 후 추진,민간조직,부여군 부여서동연꽃축제 운영 조례,,장달희,041-830-2209,,
643,충남,부여군,2023 대백제전,전통역사,09.23.~10.09,부여 구드래 일원,대면,1955,,"4,000",,"4,000","400,000","20,000",부여군 백제문화선양위원회,위원회,부여군 백제문화선양위원회 조례,,최영남,041-830-2208,,
644,충남,부여군,2023년 제18회 부여 굿뜨래 알밤축제,특산물,10.02.~11.30.,온라인 축제,비대면,2006,,120,,120,,,공모선정 후 추진,민간조직,부여군 지방보조금 관리 조례,,김유진,041-830-2434,,
645,충남,부여군,제20회 백제고도부여국화축제,생태자연,10~11월중,(미정),대면,2004,,478,,478,"200,000","2,000",부여군 농업기술센터,지자체,,,박진영,041-830-2591,,
646,충남,서천군,서천 동백꽃 주꾸미 축제,특산물,03.18.~04.02.,마량진항 일원,대면,2000,,24,100,124,,,서면개발위원회,위원회,,,안기헌,041-950-4016,,
647,충남,서천군,서천 자연산 광어 도미 축제,특산물,5월중,마량진항 일원,대면,2003,,24,100,124,"133,000",,서면개발위원회,위원회,,,안기헌,041-950-4016,,
648,충남,서천군,장항항 꼴갑축제,특산물,5월중,장항 물양장 일원,대면,2009,,50,,50,"80,000",,서천군어민회,어민회,,,조영은,041-950-6305,,
649,충남,서천군,한산모시문화제,특산물,6. 9.~6. 11.,한산모시관 일원,대면,1989,30,670,,700,"150,000",350,한산모시문화제추진위원회,위원회,,문체부,이아림,041-950-4256,,
650,충남,서천군,장항 송림숲 맥문동 축제,생태자연,8월중,장항 송림 살림욕장,대면,2023,,200,,200,,,맥문동축제추진위원회,위원회,,,서지영,041-950-6863,,
651,충남,서천군,홍원항 자연산 전어 꽃게 축제,특산물,9월중,홍원항 일원,대면,2001,,24,50,74,"161,000",,마을축제추진위원회,위원회,,,안기헌,041-950-4016,,
652,충남,청양군,제22회 칠갑문화제,일반축제,04.01.~04.30.,지천백세공원,대면,1979,,260,,260,"2,000",100,청양군,지자체,,,전대현,041-940-2193,,
653,충남,청양군,제24회 청양고추구기자축제,특산물,09.08~09.10.,청양백세건강공원,대면,2000,,760,40,800,"49,900",100,청양고추구기자축제추진위원회,위원회,청양고추구기자축제추진위원회 운영 조례(2014),,이기석,041-940-2302,,
654,충남,청양군,제24회 칠갑산 장승문화축제,전통역사,10월중,칠갑산장승공원일대,대면,2000,,137,26,163,"4,000",200,청양문화원,사단법인,청양군 문화원 지원 및 육성에 관한 조례,,전대현,041-940-2193,,
655,충남,홍성군,홍성남당항새조개축제,특산물,01.14.~01.31.,남당항,대면,2004,,50,,50,,,남당항축제추진위원회,법인,홍성군 축제 운영 및 지원에 관한 조례(2022년),,박소영,041-630-1237,,
656,충남,홍성군,홍성역사인물축제,전통역사,05.05.~05.06.,홍주읍성,대면,2014,,500,,500,,,홍주문화관광재단,재단법인,홍주문화관광재단 설립 및 운영에 관한 조례(2020년),,심영석,041-634-8706,,
657,충남,홍성군,홍성남당항대하축제,특산물,9월중,남당항,대면,1996,,50,,50,970,25,남당항축제추진위원회,법인,홍성군 축제 운영 및 지원에 관한 조례(2022년),,박소영,041-630-1237,,
658,충남,홍성군,광천토굴새우젓축제,특산물,10월중,광천전통시장,대면,1996,,50,,50,800,30,광천토굴새우젓축제추진위원회,법인,홍성군 축제 운영 및 지원에 관한 조례(2022년),,박소영,041-630-1237,,
659,충남,홍성군,홍성한우바비큐페스티벌,특산물,10.20.~10.22.,홍주읍성,대면,2019,,500,,500,,,홍주문화관광재단,재단법인,홍주문화관광재단 설립 및 운영에 관한 조례(2021년),,박영규,041-634-8707,,
660,충남,홍성군,광천김축제,특산물,12.01~12.31.,광천전통시장,대면,1996,,50,,50,800,30,광천김축제추진위원회,법인,홍성군 축제 운영 및 지원에 관한 조례(2022년),,박소영,041-630-1237,,
661,충남,예산군,제50회 윤봉길 평화축제,역사인물,4월~5월중,덕산면 충의사일원,대면,1973,,200,,200,"30,862",,공모선정 후 추진,,예산군 축제 지원 및 운영 조례,,정서현,041-339-7317,,
662,충남,예산군,예산황새축제,생태자연,9월중,예산황새공원,대면,2018,,80,,80,"4,349",,공모선정 후 추진,,예산군 축제 지원 및 운영 조례,,최순상,041-339-7338,,
663,충남,예산군,제7회 예산장터삼국축제,생태자연,10.20.~10.26.,예산전통시장내 백종원국밥거리일원,대면,2017,,290,,290,"364,245",,공모선정 후 추진,,예산군 축제 지원 및 운영 조례,,정서현,041-339-7317,,
664,충남,예산군,제20회 예산황토사과축제,특산물,11월중,예산역전시장내 주차창일원,대면,1983,,200,,200,"53,816",,공모선정 후 추진,,예산군 축제 지원 및 운영 조례,,정서현,041-339-7317,,
665,충남,예산군,2023 의좋은형제축제,전통역사,11월중,대흥면 의좋은형제공원,대면,2005,,200,,200,"43,649",,공모선정 후 추진,,예산군 축제 지원 및 운영 조례,,이승민,041-339-7318,,
666,충남,태안군,제11회 몽산포항 주꾸미축제,특산물,4월중,몽산포항,대면,2010,,49,49,98,"100,000",,공모선정 후 추진,,,,안숙주,041-670-2875,,
667,충남,태안군,제19회 태안 국제 모래조각 페스티벌,생태자연,5~6월중,미정,대면,2003,,90,,90,"15,000",,공모선정 후 추진,,,,한재식,041-670-2691,,
668,충남,태안군,2023년 태안거리축제,문화관광,10월중,태안읍 중앙로 일원,대면,2002,,80,10,90,"15,000","5,000",태안거리축제추진위원회,민간단체,태안군 축제 육성 및 지원에 관한 조례 제2조,,최다혜,041-670-2841,,
669,충남,태안군,2023 태안국화축제,생태자연,10.27~11.05,옥파 이종일선생 생가지,대면,2021,,280,20,300,"12,350",,공모선정 후 추진,,,,이중한,041-670-5061,,
670,충남,태안군,2023년 대한민국 사구축제,생태자연,11월중,해안사구일원,대면,2015,,60,,60,"20,000",,공모선정 후 추진,,,,홍영선,041-670-5936,,
671,전북,-,전주세계소리축제,문화예술,9월 중,한국소리문화전당,대면,2001,,"2,621",374,"2,995","40,000",,(사)전주세계소리축제조직위원회,사단법인,전주세계소리축제조직위원회 설립·운영 및 지원 조례,,조경진,063280-3312,,
672,전북,전주시,전주국제영화제,문화예술,4.27.~5.6.,영화의거리일원,혼합형,2000,850,"3,500","1,300","5,650","61,890",,(재)전주국제영화제조직위원회,재단법인,전주시 영상진흥조례,문체부,박주영,063-281-2074,,
673,전북,전주시,전주 단오,전통역사,6.22.~6.24.,덕진공원 일원,혼합형,1959,,120,,120,"7,000",,(사)풍남문화법인,사단법인,,,고가영,063-281-2532,,
674,전북,전주시,전주얼티밋뮤직페스티벌,문화예술,8.4.~8.6.(예정),전주종합경기장,혼합형,2016,,450,,450,"1,500",,전주문화방송,법인,,,김경수,063-281-2682,,
675,전북,전주시,전주비빔밥축제,특산물,10.6~10.9,한옥마을일원,대면,2010,,40,,40,"38,570",,전주시,공공,,,변문선,063-281-2382,,
676,전북,전주시,얼굴없는천사 축제,전통역사,10.3~10.4,노송동 천사공원,혼합형,2011,,40,,40,500,,얼굴없는천사축제조직위원회,축제조직위,,,김성호,063-281-2497,,
677,전북,군산시,2023 어촌체험 섬마을 작은 축제,기타(어촌마을 홍보),미정,고군산군도 일대,대면,2022,0,36,15,51,500,,미정(어촌계 등(마을운영위원회)),,,-,이다미,063-454-2893,,
678,전북,군산시,제18회 꽁당보리축제,특산물,05.04~05.07,미성동,대면,2006,0,100,0,100,,,군산꽁당보리축제위원회,민간단체,,,김형신,063-454-5231,,
679,전북,군산시,군산 수제맥주 & 블루스 페스티벌,"문화예술
특산물",6~9월 중,내항 및 째보선창 일원,대면,2022,,200,,200,"16,700",,군산시,공공,,,이선우,063-454-5252,,
680,전북,군산시,제6회 우체통거리 손편지축제,기타(주민화합 등),09.08~09.09,"우체통거리1길,2길",대면,2018,0,29,0,29,500,,우체통거리경관협정운영회,경관협정,경관법 제 19조,,정민주,063-454-4478,,
681,전북,군산시,제55회 진포예술제,문화예술,10.01~10.05,예술의전당 등,대면,1969,0,122,0,122,"3,000",,(사)한국예총군산지회,사단법인,,,이승범,063-454-3282,,
682,전북,군산시,제11회 군산시간여행축제,"전통역사
문화예술",10월 중,"시간여행마을권역
구시청광장",혼합형,2013,0,818,70,888,"95,139",,"군산시간여행축제
추진위원회",축제조직위,군산시 축제발전 및 운영에 관한 조례,,이진규,063-454-3304,,
683,전북,군산시,제3회 짬뽕페스티벌,기타,10.08~10.09,짬뽕특화거리,대면,2020,0,90,0,90,"80,000",200,군산시,공공,,,전세미,063-454-3414,,
684,전북,익산시,2023 익산서동축제,문화예술,10월 중,금마면 서동공원,대면,2004,,950,,950,"69,486",,(재)익산문화관광재단,재단법인,익산문화관광재단 설립 및 운영에 관한 조례,,유영일,063-859-5826,,
685,전북,익산시,제20회 익산 천만송이 국화축제,생태자연,10월 중,중앙체육공원,대면,2004,,"1,319",,"1,319","630,000",,익산시,공공,,,노은희,063-859-4977,,
686,전북,익산시,두동편백마을 힐링숲축제,생태자연,11.03~11.04,성당면 두동편백마을,대면,2019,,50,,50, - ,,두동편백마을,임의단체,,,유영일,063-859-5826,,
687,전북,정읍시,정읍 내장산 얼음축제,기타,01.13~01.17,내장산 워터파크,대면,2023,,290,,290,,,정읍시,공공,,,정건의,063-539-5236,,
688,전북,정읍시,정읍 벚꽃축제,생태자연,4월초(5일간),하천,대면,1991,,250,,250,,,정읍시,공공,,,정건의,063-539-5236,,
689,전북,정읍시,정읍 물빛축제,기타,8월 중,하천,대면,2023,,290,,290,,,정읍시,공공,,,정건의,063-539-5236,,
690,전북,정읍시,정읍 구절초 꽃축제,생태자연,10.05~10.15,공원,대면,2005,,795,,795,"197,456",,정읍시/정읍시구절초축제추진위원회,공공/축제조직위,정읍시 구절초축제 추진위원회 운영 조례 ,,송대효,063-539-5697,,
691,전북,정읍시,솔티모시 달빛축제,생태자연,10월초(2일),솔티마을,대면,2014,,50,,50,,,솔티마을,민간단체,,,정건의,063-539-5236,,
692,전북,남원시,제93회 춘향제,문화예술,5.24~5.28,광한루원 및 요천로 일원,대면,1931,,"1,900",,"1,900","200,000",,춘향제전위원회,축제조직위,남원시 춘향제 조례,,윤완상,063-620-6170,,
693,전북,남원시,제31회 흥부제,문화예술,10.27~10.29,"사랑의 광장,인월면",대면,1993,,340,,340,"22,740",,흥부제전위원회,축제조직위,남원시 흥부제 조례 ,,윤완상,063-620-6170,,
694,전북,남원시,지리산 뱀사골 고로쇠 약수제,생태자연,2월 중,산내면 부운리 반선추차장,대면,1989,,15,,15,700,,산내면발전협의회,민간단체,,,이정숙,063-620-6168,,
695,전북,남원시,지리산바래봉 눈꽃축제,생태자연,1월~2월 중,운봉읍 용산리 268-6,대면,2011,,20,,20,,,운봉애향회,민간단체,,,이정숙,063-620-6168,,
696,전북,남원시,지리산 바래봉 철쭉제,생태자연,4월말~5월초(30일정도),운봉읍 용산리 268-6,대면,1995,,15,,15,,,운봉애향회,민간단체,,,이정숙,063-620-6168,,
697,전북,남원시,봉화산 철쭉제,생태자연,4~5월,아영면 봉화산 일원,대면,1996,,10,,10,,,흥부골아영발전협의회,민간단체,,,이정숙,063-620-6168,,
698,전북,남원시,지리산 뱀사골 단풍제,생태자연,10월 중(1일간),지리산국립공원분소 내,대면,1977,,10,,10,"1,700",,산내면발전협의회,민간단체,,,이정숙,063-620-6168,,
699,전북,남원시,혼불문학 신행길 축제,문화예술,10월 중(2일간),구)서도역 일원,대면,2014,,32,,32,,,노봉혼불문학마을회,축제조직위,,,이정숙,063-620-6168,,
700,전북,남원시, 남원 막걸리축제,지역특산물,9월중(2일간),요천둔치,대면,2019,,92,,92,"13,000",,남원시,공공,,,윤완상,063-620-6170,,
701,전북,남원시,남원요천 벚꽃축제,생태자연,4월중(2일간),요천둔치,대면,2023,,80,,80,,,남원시,공공,,,윤완상,063-620-6171,,
702,전북,남원시,남원요천 물놀이축제,생태자연,7~8월(30일간),요천둔치,대면,2023,,90,,90,,,남원시,공공,,,윤완상,063-620-6172,,
703,전북,남원시,요천미디어아트 빛축제,문화예술,10월(30일간),요천둔치,대면,2023,,290,,290,,,남원시,공공,,,윤완상,063-620-6173,,
704,전북,남원시,동동동화축제,"생태자연, 기타",12월 (14일간),남원예촌일원,대면,2018,,95,,95,"12,000",,남원시,공공,,,윤완상,063-620-6174,,
705,전북,김제시,김제지평선축제,문화예술,10.05.~10.09.,김제시 일원(벽골제 중심),대면,1999,0,"2,504",0,"2,504","155,270","1,000",김제시지평선축제제전위원회,사단법인,김제시지평선축제조례,해당없음,이성하,063-540-3190,,
706,전북,김제시,김제모악산축제,문화예술,04.28.~04.30.,모악산일원,대면,2008,0,201,0,201,"20,000",,김제시,공공,,해당없음,문희,063-540-3188,,
