연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,
248,경북,영덕군,제25회 영덕대게축제,특산물,12.24~12.31.,영덕 해파랑공원,혼합형,1997년,0,600,0,600,-,-,영덕문화관광재단,재단법인,영덕문화관광재단 설립 및 운영에 관한 조례(2019년),,신충식,054-730-6393
249,경북,영덕군,블루로드 축제,특산물,5~6월,축산항 일원,혼합형,2006년,0,90,0,90,-,-,영덕문화관광재단,재단법인,영덕문화관광재단 설립 및 운영에 관한 조례(2019년),,유영일,054-730-6233
250,경북,영덕군,황금은어축제,공연 및 체험행사,7~8월,영덕읍 오십천 둔치,혼합형,1999년,0,260,0,260,-,-,영덕문화관광재단,재단법인,영덕문화관광재단 설립 및 운영에 관한 조례(2019년),,은원식,054-730-6756
251,경북,청도군,청도소싸움축제,전통역사,5-6월,청도소싸움경기장,대면,1999,,530,,530,"310,000",,청도소싸움축제추진위원회,법인,해당없음,,구태현,054-370-6376
252,경북,청도군,청도반시축제,특산물,10.14.~10.16.,청도야외공연장일원,대면,2006,,430,,430,"380,000",,청도반시축제추진위원회,법인,해당없음,,구태현,054-370-6376
253,경북,청도군,청도세계코미디아트페스티벌,문화예술,10.14.~10.16.,청도야외공연장일원,대면,2015,,650,,650,"380,000",,청도군,지자체,해당없음,,구태현,054-370-6376
254,경북,고령군,대가야체험축제,전통역사,4월 중,대가야생활촌 일원,혼합형,2005,0,900,0,900,미개최,미개최,고령군관광협의회,사단법인,고령군 관광협의회 지원에 관한 조례(2016년),,최상희,054)950-6652
255,경북,성주군,"2022성주생명문화축제
&제7회성주참외페스티벌",문화예술,5월중,"성밖숲외
5개장소",혼합형,2011년,0,1000,0,1000,,,"성주군축제
추진위원회","비영리
법인",성주군축제추진위원회 설치 및 운영조례,,이은성,054-930-6982
256,경북,성주군,"2022 성주가야산황금
들녘메뚜기잡이체험축제",생태자연,10월중,"수륜면
수성리
(어울림마당)",대면,2014년,0,1000,0,1000,,,"황금들녘
메뚜기잡이
체험축제
추진위원회","비영리
법인",성주군축제추진위원회 설치 및 운영조례,,이은성,054-930-6982
257,경북,성주군,성주 성밖숲 희망길 와숲,문화예술,8월중,성밖숲,혼합형,2020년,0,4000,0,4000,,,"성주군축제
추진위원회","비영리
법인",성주군축제추진위원회 설치 및 운영조례,,송윤경,054-930-6983
258,경북,칠곡군,"낙동강세계평화 문화
대축전",문화예술,"9월 또는 10월 중 3일간
예정 ","칠곡보
생태공원
및 호국평화기념관 일원",혼합형,2013년,,1800,,1800,"18,000",,낙동강세계평화 문화 대축전 추진위원회,추진위원회,칠곡군 축제추진위원회 설치 및 운영 조례,,이충열,054-979-6087
259,경북,예천군,예천장터농산물대축제,특산물,10월 중,예천읍,대면,1999년,,300,,300,미개최,미개최,예천농산물축제추진위원회,축제조직위,,,강지훈,054-650-6271
260,경북,예천군,예천용궁순대축제,특산물,9월 중,용궁면,대면,2012년,,100,,100,미개최,미개최,예천용궁순대축제추진위원회,축제조직위,,,천홍성,054-650-6276
261,경북,예천군,2022 예천세계곤충엑스포,생태자연,8월 중,곤충생태원 및 예천읍시가지,대면,2007년,500,"1,500",,"2,000",미개최,미개최,예천문화관광재단,재단법인,예천문화관광재단 설립 및 지원에 관한 조례(2020년),농림축산식품부,조재익,054-650-6031
262,경북,예천군,2022 삼강주막 나루터축제,"문화예술, 전통역사",9월 중,삼강주막 및 삼강문화단지 일원,대면,2010년,,150,,150,미개최,미개최,예천문화사업단,주식회사,,,이유민,054-650-6902
263,경북,봉화군,제24회 봉화은어축제,생태자연,"07월말~08월초
(9일간)",관내 하천 및 주요 관광지,대면,1999년,30,30,"1,600",1660,온라인개최,,봉화축제관광재단," 
재단법인
 ",봉화군 재단법인 봉화축제관광재단 설립 및 지원에 관한 조례(2019),문체부,박지원,054-679-6343
264,경북,봉화군,제26회 봉화송이축제,특산물,"08월말~09월초
(4일간)",관내 하천 및 주요 관광지,대면,1997년,,,505,505,미개최,,봉화축제관광재단," 
재단법인
 ",봉화군 재단법인 봉화축제관광재단 설립 및 지원에 관한 조례(2019),,박지원,054-679-6343
265,경북,봉화군,시장애 불금축제,기타(주민화합 등),"05월~09월
(150일간)",관내 주요시장,대면,2019년,,,100,100,미개최,,봉화축제관광재단," 
재단법인
 ",봉화군 재단법인 봉화축제관광재단 설립 및 지원에 관한 조례(2019),,박지원,054-679-6343
266,경북,봉화군,"2021-2022 
분천산타마을 운영",기타(주민화합 등),"07월~08월
(30일간)
12월~02월
(60일간)",분천역 일원,대면,2014년,,,100,100,미개최,,봉화축제관광재단," 
재단법인
 ",봉화군 재단법인 봉화축제관광재단 설립 및 지원에 관한 조례(2019),,박지원,054-679-6343
267,경북,울진군,2022년 울진대게와붉은대게축제,특산물,2월말~3월초,후포한마음광장,비대면,2000,,350,,350,미개최,,울진군축제발전위원회,축제조직위원회,울진군 축제발전위원회의 설치 및 운영 조례,,손용락,054-789-6851
268,경북,울진군,울진금강송송이축제,특산물,9월말~10월초,왕피천공원,대면,2000,,200,,200,미개최,,울진군축제발전위원회,축제조직위원회,울진군 축제발전위원회의 설치 및 운영 조례,,정호림,054-789-6820
269,경북,울진군,죽변항 수산물 축제,특산물,12월 중순,죽변항,대면,2019,,200,,200,미개최,,울진군축제발전위원회,축제조직위원회,울진군 축제발전위원회의 설치 및 운영 조례,,손용락,054-789-6851
270,경북,울릉군,제20회 울릉오징어축제,특산물,미정,울릉군 저동항 일원,대면,2001,0,200,0,200,미개최,,울릉군축제위원회,위원회,울릉군 축제 육성 및 지원에 관한 조례(2015년),,오서영,054-790-6426
271,강원도,춘천시,토이페스티벌,문화예술,22. 6~7월,애니메이션 박물관 일원,혼합형,2017,-,350,-,350,"11,640명",미집계,강원정보문화진흥원,재단법인,춘천시 재단법인 강원정보문화진흥원 설립 및 지원 조례 ,-,이세현,033-250-3072
272,강원도,춘천시,막국수닭갈비축제,특산물,22. 6~9월,미정,혼합형,2008,-,500,-,500,미집계,미집계,춘천막국수닭갈비축제조직위원회,축제조직위,-,-,이세현,033-250-3072
273,강원도,춘천시,호수나라물빛축제,문화예술,22. 3월(예정),하중도일원,대면,2022,-,1500,-,1500,개최예정,개최예정,춘천시 관광과,공공,-,-,이세현,033-250-3072
274,강원도,춘천시,제34회 춘천마임축제,문화예술,22. 5월 ,미정,대면,1989,30,609,20,659,"95,071명",미집계,(사)춘천마임축제,사단법인,-,문체부,임다은,033-250-3226
275,강원도,춘천시,제34회 춘천인형극제,문화예술,22. 3~12월,춘천인형극장 일원,혼합형,1989,850,650,미정,1500,"10,000명",미집계,(재)춘천인형극제,재단법인,-,문체부,안종명,033-250-3067
276,강원도,춘천시,제24회 춘천연극제,문화예술,22. 5~8월,관내 극장 및 야외 소공연장 등,혼합형,1993,-,270,미정,270,"39,000명",미집계,(사)춘천연극제,사단법인,-,-,김지혜,033-250-3447
277,강원도,춘천시,제29회 봄내예술제,문화예술,22. 5.1.~28.,"관내 공연장, 박물관, 시장, 공원 등",혼합형,1994,-,110,미정,110,"1,000명",미집계,(사)춘천예총,사단법인,-,-,이영균,033-250-3592
278,강원도,춘천시,애니타운페스티벌,문화예술,22. 5~9월,애니메이션 박물관 일원,혼합형,1997,-,200,-,200,"10,904명",미집계,강원정보문화진흥원,재단법인,춘천시 재단법인 강원정보문화진흥원 설립 및 지원 조례 ,-,하여라,033-250-4813
279,강원도,원주시, 치악산왕발걸음축제 , 생태자연 , 22. 4월  , 치악산 둘레길3코스 , 대면 ,2019,-,10,-,10, 개최취소 , 개최취소 , 치악산왕발걸음축제추진위원회 , 축제조직위원회 , - ,-, 석진희 ,033-737-5132
280,강원도,원주시, 한지문화제 , 특산물 , 22. 5.5.~15. ," 원주한지테마파크 및
 간현관광지 일원 ", 혼합형 ,1999,-,230,-,230," 5,000명 ", 미집계 , 원주한지개발원 , 사단법인 , - ,-, 석진희 , 033-737-5132 
281,강원도,원주시, 용수골꽃양귀비축제 , 생태자연 , 22. 5.25.~6.10. , 용수골꽃농장 , 대면 ,2008,-,20,-,20," 30,000명 ", 미집계 , 용수골꽃양귀비축제추진위원회 , 축제조직위원회 , - ,-, 석진희 ,033-737-5132
282,강원도,원주시, 장미축제 , 생태자연 , 22. 5월  , 장미공원 , 대면 ,1999,-,10,-,10, 개최취소 , 개최취소 , 장미축제위원회 , 축제조직위원회 , - ,-, 석진희 ,033-737-5132
283,강원도,원주시, 남한강축제 , 생태자연 , 22.6.4.~6.5. , 법천소공원 , 대면 ,2008,-,10,-,10, 개최취소 , 개최취소 , 남한강축제위원회 , 축제조직위원회 , - ,-, 석진희 ,033-737-5132
284,강원도,원주시, 치악산찰옥수수축제 , 특산물 , 22. 7월  , 문막체육공원 , 대면 ,2012,-,20,50,70," 5,000명 ", 미집계 , 문막농업협동조합 , 농업인단체 , - ,-, 이인환 , 033-737-4131 
285,강원도,원주시, 치악산봉숭아축제 , 특산물 , 22. 8월  , 댄싱공연장 일원 , 대면 ,1999,-,30, - ,30, 개최취소 , 개최취소 , 치악산복숭아원주시협의회 , 농업인단체 , - ,-, 이인환 , 033-737-4131 
286,강원도,원주시,2022 대한민국 독서대전, 문화예술,22. 9.23.~25.,댄싱공연장 일원 등,혼합형,2022,300,500, - ,800, 개최예정 , 개최예정 ,평생교육원 시립중앙 도서관,공공, - ,문체부,김해영,033-737-3813
287,강원도,원주시,원주다이내믹댄싱카니발, 문화예술,22. 9.28.~10.3.,댄싱공연장 및 원일로 일원,대면,2011,30,"1,780", - ,1810," 3,000명 ", 미집계 ,원주문화재단,재단법인,원주문화재단 설립 및 운영에 관한 조례,문체부,석진희,033-737-5132
288,강원도,원주시, 원주삼토페스티벌 , 전통역사 , 22. 9.30.~10.3. , 댄싱공연장 일원 , 대면 ,2003, - ,500, - ,500, 개최취소 , 개최취소 , 농촌지도자원주시연합회 , 농업인단체 , - , - , 최창순 , 033-737-4155 
289,강원도,원주시, 원주문화재야행 , 문화예술 , 22. 9월  , 강원감영 외 , 대면 ,2018, - ,80, - ,80," 23,000명 ", 200명 , 원주문화원 , 사단법인 , - , - , 석병철 , 033-737-2795 
290,강원도,원주시,치악산한우축제,특산물,22. 10월 ,댄싱공연장 주차장,대면,2015, - ,80, - ,80, 개최취소 , 개최취소 ,농업기술센터 축산과,공공, - , - ,이규성,033-737-4195
291,강원도,원주시, 원주시 평생학습 대축제 , 기타(주민화합) , 22. 10. 21.~22. , 치악예술관 일원 , 대면 ,2021, - ,45, - ,45," 1,000명 ", 미집계 , 원주시 평생교육원 학습관 , 공공 , - , - , 김혜숙 , 033-737-3808 
292,강원도,원주시, 원주그림책축제 , 문화예술 , 22. 10월  , 원주복합문화커뮤니티센터 , 혼합형 ,2021, - ,300, - ,300," 8,000명 ", 미집계 , 원주문화재단 , 재단법인 ,원주문화재단 설립 및 운영에 관한 조례, - , 안재원 , 033-737-2822 
293,강원도,원주시, 치악산배축제 , 특산물 , 22. 11월  , 원주원예농협 하나로마트광장 , 대면 ,1998, - ,20, - ,20," 3,000명 ", 미집계 , 치악산배원주시협의회 , 농업인단체 , - , - , 이인환 , 033-737-4131 
294,강원도,강릉시,강릉 해맞이 축제,생태자연,"22. 12. 31.
~ 23. 1. 1.","경포해변 중앙광장,
정동진 모래시계공원",대면,미상,-,128, - ,128,미개최,미개최,해당없음,자체추진,-, - ,조성만,033-640-5618
295,강원도,강릉시,경포벚꽃잔치,생태자연,22. 3월 말,경포대 일원,대면,1993,-,195, - ,195,미개최,미개최,해당없음,자체추진,-, - ,조성만,033-640-5618
296,강원도,강릉시,강릉단오제,전통역사,22. 5 ~ 6월,"강릉단오전수교육관 및 
강릉시 일원",혼합형,미상,-,1250, - ,1250,"공식홈페이지 유입수 25,000명
페이지뷰 50,000회",미집계,(사)강릉단오제위원회,사단법인,"강릉단오제운영조례 제4조
민법 제32조
문화체유관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 제4조", - ,원영실,033-640-5580
297,강원도,강릉시,"강릉특산음식 
홍보행사",특산물,22. 5. 21.~22.,경포호수 잔디광장 일원,대면,2021,-,90,-,90, 개최취소 , 개최취소 ,해당없음,자체추진,-, - ,임남규,033-660-3140
298,강원도,강릉시,경포수제맥주축제,특산물,22. 7월 초,경포해변 중앙광장,대면,2019,-,100,-,100, 개최취소 , 개최취소 ,경포비치비어페스티벌조직위원회,축제조직위,-, - ,조성만,033-640-5618
299,강원도,강릉시,경포 썸머페스티벌,문화예술,22. 8월 초,경포해변 중앙광장,대면,1998,-,350,-,350, 개최취소 , 개최취소 ,해당없음,자체추진,, - ,조성만,033-640-5618
300,강원도,강릉시,주문진 해수욕장 페스티벌,문화예술,22. 8월 초,주문진 해수욕장,대면,2004,-,10,-,10, 개최취소 , 개최취소 ,주문진해변운영위원회,임의단체,-, - ,조성만,033-640-5618
301,강원도,강릉시,주문진 오징어잡이 축제,특산물,22. 10월 초,주문진 물항장,대면,1999,-,72,-,72, 개최취소 , 개최취소 ,주문진청년회의소,임의단체,-, - ,조성만,033-640-5618
302,강원도,강릉시,강릉커피축제,문화예술,22. 10. 6.~9.,강릉아레나 및 강릉시 일원,혼합형,2009,30,680,-,710,"31,000명",미집계,강릉문화재단,재단법인,강릉문화재단 설립 및 운영지원 조례, 문체부 ,이지윤,033-640-5115
303,강원도,강릉시,강릉국제영화제,문화예술,22. 10~11월,"강릉아트센터, 
강릉대도호부관아, CGV 등",대면,2019,-,3000,-,3000,"8,299명",미집계,강릉국제영화제 사무국,사단법인,민법 제32조, - ,심교진,033-640-5117
304,강원도,강릉시,해양레포츠문화축제,문화예술,22. 9~10월,"경포, 사근진 해변",대면,2021,-,135,15,150, 개최취소 , 개최취소 ,해당없음,자체추진,-, - ,박정빈,033-640-5199
305,강원도,동해시,동해무릉제,문화예술,22. 10월 ,동해시 천곡동 일원,대면,1984,-,550,-,550,"150,000명",미집계,동해문화관광재단,재단법인,동해시 문화관광재단 설립 및 운영에 관한 조례  ,해당없음,심흥교,033-539-8282
306,강원도,동해시,제3회 송정막걸리축제,기타(주민화합 등),22. 9월,송정시장 일원,대면,2019,-,10,-,10,500명,50명,"송정막걸리축제
추진위원회",축제추진위원회,-,해당없음,장진건,033-539-8014
307,강원도,동해시,"제3회 동해시 평생학습축제
(책문화 축제 병행 운영)",문화예술,22. 10월,동해문화예술회관 일원,혼합형,2018,-,120,-,120,"4,800명",200명,동해시,"공공
(시군구)"," - 평생교육법 제5조, 제16조
- 동해시 평생교육 진흥조례 제12조 제6호",해당없음,이영주,033-530-2471
308,강원도,동해시,묵호등대 논골담길 축제,문화관광,22. 6월,동해시 묵호등대 일원,대면,2015,-,10,4,14,"1,000명",미집계,묵호동주민자치위원회,비영리단체,동해시 주민자치회 시범실시 및 설치ㆍ운영에 관한 조례,해당없음,주정운,033-539-8535
309,강원도,태백시,한강·낙동강 발원지축제,생태자연,22. 7~8월,"황지연못, 검룡소 등",혼합형,2016,-,522.8,-,522.8,미집계,미집계,태백시문화재단,재단법인,태백시문화재단 설립 및 운영에 관한 조례,-,윤호철,033-553-6900
310,강원도,태백시,태백제,주민화합,22. 10월,"태백산, 태백종합경기장 등",혼합형,1981,-,362.5,-,362.5,"2,398",미집계,태백시문화재단,재단법인,태백시문화재단 설립 및 운영에 관한 조례,-,윤호철,033-553-6900
311,강원도,속초시,속초 봄빛 축제 '청초누리',기타,22. 4~5월,청초호유원지 일원,대면,2019,-,95,-,95,개최취소,개최취소,속초시,-,-,-,권혁민,033-639-2545
312,강원도,속초시,남북 실향민 문화 육성사업,문화예술,22. 5~6월,청호동 아바이마을,대면,2016,190,"410
(미확정)",-,190,"93,000",미집계,속초문화재단,재단법인,속초문화재단 설립 및 운영에 관한 조례,행정안전부,이지현,033-639-2255
313,강원도,속초시,속초 썸머 페스티벌,기타,22. 7~8월,속초해수욕장 일원,대면,2017,-,450,-,450,개최취소,개최취소,속초시,-,-,-,권혁민,033-639-2545
314,강원도,속초시,장사항 오징어 맨손잡기 축제,기타,22. 8월,장사항 일원,대면,1999,-,40,50,90,개최취소,개최취소,속초시,-,-,-,권혁민,033-639-2545
315,강원도,속초시,속초 빛 축제 '청초환희',기타,22. 10월,청초호유원지 일원,대면,2018,-,380,-,380,개최취소,개최취소,속초시,-,-,-,권혁민,033-639-2545
316,강원도,속초시,제57회 설악문화제,문화예술,22. 10월,"설악산, 시내 일원",대면,1966,-,650,-,650,미집계,미집계,속초문화재단,재단법인,속초문화재단 설립 및 운영에 관한 조례,-,이지현,033-639-2255
317,강원도,삼척시,삼척정월대보름제,전통역사,22. 2.7~20.,삼척 시내 및 오십천 둔치,혼합형,1973,-,600,-,600,미집계,미집계,삼척정월대보름제위원회,재단법인,삼척정월대보름제 운영 조례,-,유경하,033-570-3226
318,강원도,삼척시,삼척 장미축제,생태자연,22. 5~6월,삼척장미공원,혼합형,2016,-,355,-,355,미집계,미집계,삼척시(관광과),-,-,-,최종은,033-570-3548
319,강원도,삼척시,삼척비치 썸 페스티벌,문화예술,22. 7~8월,삼척해변,대면,2016,-,130,-,130,개최취소,개최취소,삼척시(관광과),-,-,-,김동혁,033-570-3544
320,강원도,삼척시,삼척동해왕이사부축제,문화예술,22. 10월 ,삼척문화예술회관 일원,대면,2008,-,430,-,430,미집계,미집계,삼척동해왕이사부축제추진위원회,재단법인,삼척시 동해왕 이사부 선양사업 지원 조례,-,박순영,033-570-3844
321,강원도,삼척시,삼척해변 빛 축제,문화예술,22. 12월,삼척해변,대면,2022,-,299,-,299,개최취소,개최취소,삼척시(관광과),-,-,-,김동혁,033-570-3544
322,강원도,홍천군,제4회 홍천산나물축제,특산물,22. 4월말,홍천시내 및 강변 일원,혼합형,2019,-,290,-,290,미집계,미집계,홍천문화재단,재단법인,홍천문화재단 설립 및 운영에 관한 조례,-,조운용,033-430-2471
323,강원도,홍천군,제6회 홍천강 별빛음악 맥주축제,특산물,22. 8월초,홍천시내 및 강변 일원,혼합형,2017,-,800,-,800,개최취소,개최취소,홍천문화재단,재단법인,홍천문화재단 설립 및 운영에 관한 조례,-,조운용,033-430-2471
324,강원도,홍천군,제26회 홍천찰옥수수축제,특산물,22. 7월말,홍천시내 및 강변 일원,혼합형,1996,-,295,-,295,미집계,미집계,홍천문화재단,재단법인,홍천문화재단 설립 및 운영에 관한 조례,-,조운용,033-430-2471
325,강원도,홍천군,제20회 강원홍천 인삼한우 명품축제,특산물,22. 10월초,홍천시내 및 강변 일원,혼합형,2003,-,450,-,450,미집계,미집계,홍천문화재단,재단법인,홍천문화재단 설립 및 운영에 관한 조례,-,조운용,033-430-2471
326,강원도,횡성군,제11회 둔내고랭지토마토축제,특산물,22. 8월,둔내종합체육공원 및 시가지 일원,대면,2012,-,150,-,150,미집계,미집계,둔내고랭지토마토축제위원회,민간조직,횡성군 지역축제 지원에 관한 조례,-,홍성헌,033-340-5952
327,강원도,횡성군,제9회 횡성더덕축제,특산물,22. 9월,청일면 유동리 1150 일원,대면,2012,-,150,-,150,개최취소,개최취소,횡성더덕축제위원회,민간조직,횡성군 지역축제 지원에 관한 조례,-,홍성헌,033-340-5952
328,강원도,횡성군,제14회 안흥찐빵축제,특산물,22. 10월,안흥찐빵마을 일원,대면,1999,-,150,-,150,개최취소,개최취소,안흥찐빵축제위원회,민간조직,횡성군 지역축제 지원에 관한 조례,-,홍성헌,033-340-5952
329,강원도,횡성군,제3회 횡성호수길 축제,생태자연,22. 5월,갑천면 망향의 동산 일원,대면,2018,-,80,50,130,개최취소,개최취소,횡성호수길추진위원회,민간조직,횡성군 지역축제 지원에 관한 조례,-,홍성헌,033-340-5952
330,강원도,횡성군,제32회 횡성회다지소리 민속문화제,전통역사,22. 4월,우천 정금민속관 일원,대면,1986,-,100,-,100,개최취소,개최취소,횡성회다지소리민속문화제 위원회,민간조직,횡성군 지역축제 지원에 관한 조례,-,홍성헌,033-340-5952
331,강원도,영월군,단종문화제,전통역사,22. 4.22~24.,장릉외,혼합형,1967,-,980,-,980," 180,000명 ",미집계,영월문화재단,재단법인,영월문화재단 설립·운영 조례,-,이아름,033-370-2926
332,강원도,영월군,동강국제사진제,문화예술,22. 7.1.~9.30.,동강사진박물관,혼합형,2002,-,596,-,596," 100,000명 ",미집계,영월문화재단,재단법인,영월문화재단 설립·운영 조례,-,이아름,033-370-2926
333,강원도,영월군,동강뗏목축제,문화예술,22. 8.4~7.,동강둔치,혼합형,1997,-,779,-,779," 150,000명 ",미집계,영월문화재단,재단법인,영월문화재단 설립·운영 조례,-,이아름,033-370-2926
334,강원도,영월군,김삿갓문화제,전통역사,22. 9.23~25.,김삿갓문학관,혼합형,1998,-,493,-,493," 80,000명 ",미집계,영월문화재단,재단법인,영월문화재단 설립·운영 조례,-,이아름,033-370-2926
335,강원도,영월군,동강붉은메밀꽃축제,문화예술,22. 10.2~17.,동강둔치(삼옥리),혼합형,2020,-,165,-,165," 10,000명 ",미집계,동강 먹골마을 협동조합,법인,-,-,이아름,033-370-2926
336,강원도,평창군,대관령눈꽃축제,생태자연,22. 1.21~30.,평창군 대관령면 송천일원,대면,1993,-,280,-,280," 117,068명 ",미집계,대관령면축제위원회,민간단체,평창군 축제 지원 조례,-,이상규,033-330-2712
337,강원도,평창군,평창더위사냥축제,생태자연,22. 7~8월,평창군 대화면 땀띠공원 일원,대면,2013,-,100,-,100,개최취소,개최취소,평창더위사냥축제위원회,민간단체,평창군 축제 지원 조례,-,박유진,033-330-2466
338,강원도,평창군,계촌마을클래식거리축제,문화예술,22. 8월,평창군 방림면 계촌클래식마을 일원,대면,2015,-,100,-,100,미집계,미집계,계촌클래식축제위원회,민간단체,평창군 축제 지원 조례,-,박영균,033-330-2541
339,강원도,평창군,평창효석문화제,문화예술,22. 9월,평창군 봉평면 평창효석문화제 축제장 일원,대면,1998,30,590,40,660,개최취소,개최취소,이효석문학선양회,민간단체,평창군 축제 지원 조례,문체부,박유진,033-330-2466
340,강원도,평창군,평창백일홍축제,생태자연,22. 9월,평창군 평창읍 평창백일홍축제장 일원,대면,2015,-,100,-,100,개최취소,개최취소,평창백일홍축제위원회,민간단체,평창군 축제 지원 조례,-,이상규,033-330-2712
341,강원도,평창군,평창송어축제,관광특산,22. 12월~23. 1월,평창군 진부면 오대천 일원,대면,2007,30,30,-,60,개최취소,개최취소,평창송어축제위원회,민간단체,평창군 축제 지원 조례,문체부,박유진,033-330-2466
342,강원도,평창군,평창농악축제,문화예술,22. 9월,평창군 용평면 농악축제장 일원,대면,2019,-,200,-,200,개최취소,개최취소,평창농악축제위원회,민간단체,평창군 축제 지원 조례,-,박영균,033-330-2541
343,강원도,평창군,제19회 평창대관령음악제,문화예술,22. 6.22.~7.23.,평창군 대관령면 알펜시아 및 도내 일원,대면,2004,-,1800,600,2400," 5,015명 ",미집계,강원문화재단,재단법인,강원문화재단 설립 및 운영에 관한 조례,-,이소명,033-330-2849
344,강원도,평창군,제4회 평창국제평화영화제,문화예술,22. 6월,대관령면 일원,대면,2019,-,2100,100,2200," 11,814명 ",미집계,평창국제평화영화제,사단법인,강원문화재단 설립 및 운영에 관한 조례,-,홍현주,033-330-2348
345,강원도,평창군,강원국제예술제 강원작가전,문화예술,22. 10월,평창군 일원,대면,2022,-,1100,730,1830,미집계,미집계,강원문화재단,재단법인,강원문화재단 설립 및 운영에 관한 조례,-,이성근,033-330-2550
346,강원도,평창군,오대산 문화축전,문화예술,22. 10월,오대산 일원,대면,2004,-,280,-,280,미집계,미집계,"대한불교조계종 
제4교구 본사 월정사",종교단체,-,-,윤일구,033-330-2722
347,강원도,정선군,함백산야생화축제,생태자연,22. 8월,함백산 만항재 일원,미정,2006,-,10,-,10,미집계,미집계,함백산축제위원회,민간,-,-,,
348,강원도,정선군,정선아리랑제,전통역사,22. 9월,아리랑공원 일원,미정,1976,30,988,-,1018,개최취소,개최취소,정선아리랑문화재단,재단법인,정선아리랑문화재단 설립 및 운영에 관한 조례,문체부,신남이,033-560-2138
349,강원도,정선군,정선사과축제,특산물,22. 11월,임계면 소재지 일원,미정,2017,-,20,80,100,개최취소,개최취소,"임계면문화체육위원회
임계사과연구회
임계면행정복지센터",민간,-,-,조대현,033-560-2686
350,강원도,철원군,제40회 태봉제,"문화예술,전통역사",22. 10월,철원종합운동장,대면,1991,-,773,-,773,개최취소,개최취소,철원문화재단,재단법인,철원군 철원문화재단 설립 및 운영에 관한 조례,-,박진샘,033-450-4208
351,강원도,철원군,제16회 철원 화강 다슬기 축제,생태자연,22. 8월,화강 쉬리공원,대면,2007,-,998,-,998,개최취소,개최취소,철원문화재단,재단법인,철원군 철원문화재단 설립 및 운영에 관한 조례,-,이주용,033-450-4781
352,강원도,철원군,2022 철원오대쌀 축제,특산물,22. 10.28~30.,고석정 일원,대면,2013,-,200,-,200,개최취소,개최취소,철원문화재단,재단법인,-,-,이기쁨,033-450-4801
353,강원도,철원군,세종대왕 강무행사 행차 재현,문화예술,22. 9월,고석정 꽃밭,대면,2022,-,50,-,50,개최취소,개최취소,철원문화재단,재단법인,철원군 철원문화재단 설립 및 운영에 관한 조례,-,현재섭,033-450-4228
354,강원도,철원군,철원 DMZ 평화 꽃송이 축제 ,문화예술,22. 9월,고석정 꽃밭,대면,2019,-,200,-,200,개최취소,개최취소,철원문화재단,재단법인,철원군 철원문화재단 설립 및 운영에 관한 조례,-,이정민,033-450-4659
355,강원도,화천군,토마토축제,특산물,22. 7월말~8월초,사내면 문화광장 일원,대면,2003,-,660,-,660,개최취소,개최취소,추진위원회, ,-,-,이다혜,033-440-2912
356,강원도,화천군,물의나라화천 쪽배축제,생태자연,22. 7월말~8월초,화천읍 붕어섬일원,대면,2003,-,404,-,404,개최취소,개최취소,나라축제조직위원회,재단법인,"민법 제32조, 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 제4조",-,이명숙,033-440-2543
357,강원도,양구군,2022 양구 곰취축제,특산물,22. 5.5~8.,레포츠공원일원,혼합형,2004,-,500,-,500,"2,500명",미집계,양구문화재단,재단법인,양구문화재단 설립 및 운영에 관한 조례,-,백영기,033-482-9173
358,강원도,양구군,2022 제71주년 도솔산지구전투 전승행사,전통역사,22. 6.17~18.,"레포츠공원일원, 도솔산위령비",대면,1998,-,150,-,150,100명,미집계,양구문화재단,재단법인,양구문화재단 설립 및 운영에 관한 조례,-,백영기,033-482-9173
359,강원도,양구군,2022 국토정중앙 양구 배꼽축제,문화예술,22. 9.2~4.,레포츠공원일원,혼합형,2008,-,500,-,500,개최취소,개최취소,양구문화재단,재단법인,양구문화재단 설립 및 운영에 관한 조례,-,백영기,033-482-9173
360,강원도,양구군,제37회 양록제,기타,22. 10.6~8.,양구종합운동장 일원,대면,1985,-,295,-,295,미집계,미집계,양구문화재단,재단법인,양구문화재단 설립 및 운영에 관한 조례,-,백영기,033-482-9173
361,강원도,양구군,2022 DMZ펀치볼 시래기 축제,특산물,22. 10.29~30.,양구군 해안면 복지회관일원,대면,2006,-,150,-,150,개최취소,개최취소,양구문화재단,재단법인,양구문화재단 설립 및 운영에 관한 조례,-,백영기,033-482-9173
362,강원도,인제군,제4회 인제가을꽃축제,생태자연,22. 10월,인제군 북면 용대관광지,대면,2019,-,700,-,700,"50,164명",미집계,인제군문화재단,재단법인,인제군문화재단 설립 및 운영에 관한 조례,-,김유나,033-460-2082
363,강원도,인제군,제22회 용대황태축제,지역특산물,22. 5.5~8.,인제군 북면 용대3거리 일원,대면,1999,-,120,20,140,개최취소,개최취소,용대리황태축제추진위원회,축제추진위,-,-,김유나,033-460-2082
